,RateCodeID,RatecodeID,VendorID,dropoff_latitude,dropoff_longitude,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_latitude,pickup_longitude,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance
10,1.0,,2,40.7690544128418,-73.95066833496094,0.0,10.5,0.3,0.5,1,1,40.76107025146485,-73.97318267822266,N,2.1,0.0,13.4,2015-01-20 15:52:04,2015-01-20 15:38:17,1.82
11,1.0,,1,40.78963470458984,-73.95272827148438,0.0,16.0,0.3,0.5,1,1,40.755767822265625,-73.96480560302734,N,4.2,0.0,21.0,2015-01-08 12:03:55,2015-01-08 11:40:40,2.9
12,1.0,,2,40.800071716308594,-73.96825408935547,0.0,7.5,0.3,0.5,1,1,40.79354476928711,-73.96672058105469,N,1.5,0.0,9.8,2015-01-11 18:14:19,2015-01-11 18:05:59,1.16
13,1.0,,1,40.77385330200195,-73.94639587402342,0.0,5.5,0.3,0.5,1,1,40.78022384643555,-73.95552062988281,N,1.0,0.0,7.3,2015-01-31 16:28:24,2015-01-31 16:23:11,0.9
14,1.0,,2,40.784446716308594,-73.95550537109375,1.0,4.0,0.3,0.5,2,1,40.78142929077149,-73.95833587646483,N,1.5,0.0,7.3,2015-01-30 16:06:10,2015-01-30 16:03:36,0.43
15,1.0,,2,40.73830032348633,-73.98200225830078,0.5,12.0,0.3,0.5,1,2,40.765846252441406,-73.99098205566406,N,0.0,0.0,13.3,2015-01-10 21:26:13,2015-01-10 21:11:31,2.96
16,1.0,,1,40.7866439819336,-73.95265960693358,1.0,13.0,0.3,0.5,1,1,40.77481842041016,-73.98805236816406,N,1.0,0.0,15.8,2015-01-08 19:27:28,2015-01-08 19:10:48,2.8
17,1.0,,2,40.75226211547852,-73.97537994384766,0.0,7.0,0.3,0.5,5,2,40.76325988769531,-73.97801971435547,N,0.0,0.0,7.8,2015-01-03 16:56:01,2015-01-03 16:48:21,1.17
18,1.0,,1,40.73289489746094,-73.99819946289062,0.5,11.0,0.3,0.5,1,2,40.72987365722656,-73.98089599609375,N,0.0,0.0,12.3,2015-01-25 01:16:52,2015-01-25 01:01:22,2.0
19,1.0,,1,0.0,0.0,0.0,3.5,0.3,0.5,2,1,0.0,0.0,N,1.25,0.0,5.55,2015-01-11 19:52:03,2015-01-11 19:49:58,0.4
